word 	count	meaning	 posone 	 postwo 	 sentence 
nga	9817	connects modifiers and nouns	l.		Han bag-o pala nga nahihimo an Balangiga, an naghahadi hadto hi Sumigin.
ha	7188	1 shows direction (to; for; from) 2 interrogative particle	det.c.	pro.i.	 1 Katungod nga namatay an iroy ni Layong Uray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin. 2 Ha? Kay ano ka aanhi?
an	7054	refers to a specific thing (non-present, as oppose to iton or it\'); occurs in intransitive sentence constructions, and S or O grammatical relations).	det.c.		Han bag-o pala nga nahihimo an Balangiga, an naghahadi hadto hi Sumigin.
han	6221	1 indicates definite object; of; occurs in transitive sentence constructions; co-index of the A in grammatical relations	det.c.		Katungod nga namatay an iroy ni Layong Uray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin.
ngan	6066	 and	l.		 Ha igbaw hini natungtong it bantay ngan naghuhulat ngan nangingita
mga	4152	pluralizer (in some instances, requires infix in the noun, as in bugto --> magburugto)	mod.		 Ginsisiring nga anak daw hiya han mga engkanto
na	2346	indicates completed action (class 1)		cli.c1.	 Han bata pa ini hi Layong Uray, nasasabtan na an iya kaibahan han nga tanan nga tagabungto
hin	2340	1 indicates nonspecific thing; 2 of; occurs in transitive sentence construction; co-index the A in grammatical relations	det.c.		 Nagturutumbaw hira hin mga bato ha Pantalan.
iya	2175	hers/his/its	pro.p.		 Katungod nga namatay an iroy ni Layong Oray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin
kay 	1807	because; for a reason; than	l.		 ngan waray kabarak-an kay kada adlaw tikada man ha akon an pag uuli
hi	1585	case particle: marker of person; used in front of a proper noun (direct case)			Han bag o pala nga nahihimo an Balangiga, an naghahadi hadto hi Sumigin
hiya	1508	she/he/it	pro.ps.		 May anak hiya nga babaye nga nagngangaran nga Layong Uray
